section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
70106,201770,HIST,-,HIST 100,9,History of Western Civilizatin,3,Undergraduate - Lower Division,O,55,54,0,0
70107,201770,HIST,-,HIST 100,10,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,48,48,0,0
70108,201770,HIST,-,HIST 100,11,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,0
70109,201770,HIST,-,HIST 100,12,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,3
70110,201770,HIST,-,HIST 100,13,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,4
80599,201770,HIST,-,HIST 100,23,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,0
70113,201770,HIST,H0,HIST 121,2,Formatn of Amer Republic,3,Undergraduate - Lower Division,O,45,33,34,0
81593,201770,HIST,-,HIST 121,3,Formatn of Amer Republic,3,Undergraduate - Lower Division,O,45,26,0,0
73143,201770,HIST,-,HIST 122,1,Development of Modern America,3,Undergraduate - Lower Division,O,45,35,0,0
81594,201770,HIST,-,HIST 122,3,Development of Modern America,3,Undergraduate - Lower Division,WL,45,45,0,0
72442,201770,HIST,-,HIST 125,1,Introduction to World History,3,Undergraduate - Lower Division,CL,120,120,0,0
72443,201770,HIST,3C,HIST 125,2,Introduction to World History,3,Undergraduate - Lower Division,O,105,105,105,0
71558,201770,HIST,-,HIST 125,3,Introduction to World History,3,Undergraduate - Lower Division,WL,55,55,0,0
72805,201770,HIST,-,HIST 125,4,Introduction to World History,3,Undergraduate - Lower Division,WL,55,55,0,0
